hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6233220,6230001,40.6188,-79.7369,41.2697,-75.8893
6230790,6230001,42.114,-80.120262,41.2697,-75.8893
6230287,6230001,40.2865,-76.8981,41.2697,-75.8893
6230280,6230001,40.874651,-79.944004,41.2697,-75.8893
6230340,6230001,40.1834,-77.2231,41.2697,-75.8893
6239075,6230001,40.3008,-75.1544,41.2697,-75.8893
6231490,6230001,41.195798,-76.00306,41.2697,-75.8893
6230123,6230001,40.455447,-80.008537,41.2697,-75.8893
6230715,6230001,40.073433,-75.104326,41.2697,-75.8893
6233440,6230001,41.220126,-75.859212,41.2697,-75.8893
6231270,6230001,41.1319,-77.4702,41.2697,-75.8893
6230079,6230001,40.3512,-79.8495,41.2697,-75.8893
6231630,6230001,41.480578,-75.595692,41.2697,-75.8893
6231335,6230001,41.6415,-80.1457,41.2697,-75.8893
6230500,6230001,40.0229,-79.5867,41.2697,-75.8893
6230497,6230001,40.338,-75.9253,41.2697,-75.8893
6230300,6230001,40.2175,-76.9229,41.2697,-75.8893
6233442,6230001,39.8219,-75.887,41.2697,-75.8893
6233240,6230001,41.6338,-79.6799,41.2697,-75.8893
6232540,6230001,40.5733,-80.0145,41.2697,-75.8893
6233435,6230001,41.2463,-75.8543,41.2697,-75.8893
6233305,6230001,40.18417,-75.08078,41.2697,-75.8893
6230073,6230001,40.437169,-79.986174,41.2697,-75.8893
6231100,6230001,40.8089,-79.5622,41.2697,-75.8893
6230420,6230001,41.4775,-75.7429,41.2697,-75.8893
6232510,6230001,40.4361,-79.9856,41.2697,-75.8893
6230019,6230001,40.3371,-76.4175,41.2697,-75.8893
6230805,6230001,40.0199,-78.347,41.2697,-75.8893
6231895,6230001,40.033576,-75.145698,41.2697,-75.8893
6230930,6230001,40.283,-76.88089,41.2697,-75.8893
6230064,6230001,39.925542,-75.267793,41.2697,-75.8893
6233450,6230001,41.24157,-75.944,41.2697,-75.8893
6232610,6230001,40.4875,-79.8964,41.2697,-75.8893
6231200,6230001,40.5763,-80.2031,41.2697,-75.8893
6230240,6230001,40.00436,-79.87418,41.2697,-75.8893
6230293,6230001,40.113,-74.9628,41.2697,-75.8893
6231365,6230001,40.2111,-76.9741,41.2697,-75.8893
6230075,6230001,40.4892,-78.3977,41.2697,-75.8893
6231560,6230001,40.12358,-75.336907,41.2697,-75.8893
6232700,6230001,40.46926,-80.04008,41.2697,-75.8893
6232450,6230001,40.45438,-80.00825,41.2697,-75.8893
6233360,6230001,39.7516,-77.5684,41.2697,-75.8893
6231870,6230001,40.032606,-75.16973,41.2697,-75.8893
6230069,6230001,40.285488,-76.898596,41.2697,-75.8893
6230297,6230001,40.2538,-76.922,41.2697,-75.8893
6233100,6230001,40.5428,-80.1783,41.2697,-75.8893
6232200,6230001,39.9263,-75.1702,41.2697,-75.8893
6232585,6230001,40.425468,-79.745072,41.2697,-75.8893
6230053,6230001,40.543175,-80.179379,41.2697,-75.8893
6232435,6230001,40.4642,-79.9375,41.2697,-75.8893
6230694,6230001,40.119,-74.9271,41.2697,-75.8893
6232075,6230001,40.03211,-75.09429,41.2697,-75.8893
6233370,6230001,39.9006,-80.1729,41.2697,-75.8893
6232650,6230001,40.49544,-80.05973,41.2697,-75.8893
6231010,6230001,40.6088,-79.1594,41.2697,-75.8893
6239055,6230001,41.1926,-79.3967,41.2697,-75.8893
6230035,6230001,40.658354,-75.418667,41.2697,-75.8893
6230041,6230001,40.4566,-80.0028,41.2697,-75.8893
6230135,6230001,40.8603,-77.7558,41.2697,-75.8893
6232960,6230001,41.4325,-78.582,41.2697,-75.8893
6230945,6230001,39.975565,-75.335348,41.2697,-75.8893
6230013,6230001,40.5669,-75.519,41.2697,-75.8893
6231192,6230001,40.2674,-76.462,41.2697,-75.8893
6230720,6230001,40.8588,-80.2871,41.2697,-75.8893
6230780,6230001,42.1112,-80.0793,41.2697,-75.8893
6230555,6230001,39.9271,-75.2687,41.2697,-75.8893
6230066,6230001,41.25844,-75.867911,41.2697,-75.8893
6230470,6230001,39.9981,-75.796,41.2697,-75.8893
6233280,6230001,39.9018,-79.7385,41.2697,-75.8893
6230087,6230001,40.112601,-74.961252,41.2697,-75.8893
6230610,6230001,39.9547,-75.2836,41.2697,-75.8893
6232920,6230001,40.3378,-78.3889,41.2697,-75.8893
6230190,6230001,40.41101,-79.87229,41.2697,-75.8893
6230057,6230001,40.209497,-76.971389,41.2697,-75.8893
6230890,6230001,40.5507,-79.8717,41.2697,-75.8893
6233485,6230001,41.2601,-76.9848,41.2697,-75.8893
6230260,6230001,40.0188,-75.3213,41.2697,-75.8893
6230071,6230001,40.2502,-76.9226,41.2697,-75.8893
6232225,6230001,39.970518,-75.149962,41.2697,-75.8893
6231510,6230001,41.0136,-80.3539,41.2697,-75.8893
6233260,6230001,41.784,-76.4482,41.2697,-75.8893
6230040,6230001,40.6084,-75.4684,41.2697,-75.8893
6233170,6230001,40.6579,-78.7052,41.2697,-75.8893
6231890,6230001,39.9573,-75.1631,41.2697,-75.8893
