hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6340500,6340002,37.7101,-75.7363,36.5562,-79.41
6340880,6340002,37.55442,-77.47229,36.5562,-79.41
6340034,6340002,37.590828,-77.491423,36.5562,-79.41
6340980,6340002,37.596415,-77.459731,36.5562,-79.41
6340790,6340002,37.140224,-80.578726,36.5562,-79.41
6340680,6340002,36.748987,-83.048932,36.5562,-79.41
6340490,6340002,38.8579,-77.2284,36.5562,-79.41
6340450,6340002,37.43921,-79.188912,36.5562,-79.41
6340148,6340002,37.7919,-79.8808,36.5562,-79.41
6340360,6340002,37.9936,-79.8316,36.5562,-79.41
6340036,6340002,37.218767,-77.386143,36.5562,-79.41
6340080,6340002,37.1984,-78.1746,36.5562,-79.41
6340227,6340002,36.7015,-77.5378,36.5562,-79.41
6340429,6340002,38.8208,-77.6425,36.5562,-79.41
6340845,6340002,37.601842,-77.537979,36.5562,-79.41
6340825,6340002,37.548445,-77.449281,36.5562,-79.41
6341063,6340002,36.9941,-79.8903,36.5562,-79.41
6340855,6340002,37.141832,-82.446892,36.5562,-79.41
6340064,6340002,37.5906,-77.4907,36.5562,-79.41
6340335,6340002,37.0684,-76.3633,36.5562,-79.41
6340896,6340002,37.6288,-77.3883,36.5562,-79.41
6340005,6340002,38.0943,-78.986,36.5562,-79.41
6340050,6340002,37.3524,-79.5163,36.5562,-79.41
6340037,6340002,38.312908,-77.486243,36.5562,-79.41
6341215,6340002,38.8704,-78.5125,36.5562,-79.41
6340405,6340002,39.11655,-77.58295,36.5562,-79.41
6340017,6340002,38.308199,-77.48434,36.5562,-79.41
6340890,6340002,37.5401,-77.4069,36.5562,-79.41
6340300,6340002,38.9308,-78.1978,36.5562,-79.41
6340045,6340002,38.86047,-77.12832,36.5562,-79.41
6340012,6340002,37.604,-77.5401,36.5562,-79.41
6349172,6340002,38.0515,-78.5495,36.5562,-79.41
6341210,6340002,38.637,-77.2864,36.5562,-79.41
6341195,6340002,37.3367,-76.7411,36.5562,-79.41
6340451,6340002,38.9409,-77.5431,36.5562,-79.41
6340010,6340002,36.7226,-81.9118,36.5562,-79.41
6348005,6340002,38.8701,-77.1584,36.5562,-79.41
6349040,6340002,38.0978,-78.9755,36.5562,-79.41
6340610,6340002,36.850324,-76.259992,36.5562,-79.41
6340677,6340002,37.333,-80.7127,36.5562,-79.41
6341220,6340002,37.6111,-77.6676,36.5562,-79.41
6340415,6340002,39.1443,-77.54608,36.5562,-79.41
6340530,6340002,36.999985,-76.426183,36.5562,-79.41
6341190,6340002,37.2902,-76.7353,36.5562,-79.41
6340920,6340002,37.629515,-77.523057,36.5562,-79.41
6340390,6340002,36.8988,-82.0785,36.5562,-79.41
6341136,6340002,36.675596,-80.278486,36.5562,-79.41
6340180,6340002,37.419,-79.121,36.5562,-79.41
6340470,6340002,36.8315,-81.5102,36.5562,-79.41
6340021,6340002,37.4669,-77.6603,36.5562,-79.41
6340410,6340002,37.7787,-79.4411,36.5562,-79.41
6340025,6340002,38.9623,-77.364,36.5562,-79.41
6340016,6340002,38.049447,-78.506219,36.5562,-79.41
6340521,6340002,37.4193,-76.5416,36.5562,-79.41
6340008,6340002,37.2632,-80.0315,36.5562,-79.41
6340236,6340002,38.9393,-77.5528,36.5562,-79.41
6340023,6340002,38.2182,-77.4961,36.5562,-79.41
6340233,6340002,37.4666,-77.6586,36.5562,-79.41
6340800,6340002,37.0946,-81.82,36.5562,-79.41
6340231,6340002,38.8847,-77.3799,36.5562,-79.41
6340220,6340002,36.578,-79.4054,36.5562,-79.41
6340149,6340002,38.4151,-77.4074,36.5562,-79.41
6341165,6340002,38.7121,-77.8087,36.5562,-79.41
6340930,6340002,37.6288,-77.3864,36.5562,-79.41
6340232,6340002,38.8581,-77.232,36.5562,-79.41
6340325,6340002,37.053026,-76.398352,36.5562,-79.41
6340460,6340002,36.8519,-81.4882,36.5562,-79.41
6340100,6340002,37.3914,-80.111,36.5562,-79.41
6340047,6340002,38.8883,-77.1214,36.5562,-79.41
6341230,6340002,36.9548,-81.0969,36.5562,-79.41
6341161,6340002,37.9009,-76.8789,36.5562,-79.41
6340020,6340002,38.8225,-77.105,36.5562,-79.41
6340425,6340002,37.2509,-76.6685,36.5562,-79.41
6341075,6340002,36.7127,-78.9142,36.5562,-79.41
