hospital_1,hospital_2,hospital_1_latitude,hospital_1_longitude,hospital_2_latitude,hospital_2_longitude
6370055,6370001,32.3893,-80.6824,34.4811,-81.9409
6370010,6370001,34.1595,-82.3819,34.4811,-81.9409
6370416,6370001,33.8806,-79.7605,34.4811,-81.9409
6370060,6370001,34.63511,-79.698834,34.4811,-81.9409
6370295,6370001,33.3799,-79.2843,34.4811,-81.9409
6370290,6370001,35.0898,-81.6345,34.4811,-81.9409
6370103,6370001,32.784,-79.9539,34.4811,-81.9409
6370700,6370001,34.964,-82.4548,34.4811,-81.9409
6370650,6370001,34.9755,-82.4508,34.4811,-81.9409
6370200,6370001,34.01492,-81.03413,34.4811,-81.9409
6370245,6370001,32.9654,-81.2481,34.4811,-81.9409
6370665,6370001,32.8551,-81.0874,34.4811,-81.9409
6370022,6370001,32.9758,-80.07,34.4811,-81.9409
6370230,6370001,33.7856,-79.0018,34.4811,-81.9409
6370670,6370001,32.9232,-80.6698,34.4811,-81.9409
6370330,6370001,34.8404,-82.4214,34.4811,-81.9409
6370460,6370001,32.8213,-79.8506,34.4811,-81.9409
6370130,6370001,34.4735,-81.8683,34.4811,-81.9409
6370012,6370001,34.1952,-79.755,34.4811,-81.9409
6370011,6370001,34.1601,-79.7528,34.4811,-81.9409
6370070,6370001,34.2531,-80.5909,34.4811,-81.9409
6370549,6370001,32.494678,-80.986526,34.4811,-81.9409
6370045,6370001,33.303347,-81.031042,34.4811,-81.9409
6370090,6370001,32.7831,-79.9494,34.4811,-81.9409
6370081,6370001,32.78186,-79.95044,34.4811,-81.9409
6370240,6370001,34.4215,-79.365,34.4811,-81.9409
6370320,6370001,34.840817,-82.414245,34.4811,-81.9409
6370250,6370001,33.79168,-78.993528,34.4811,-81.9409
6370340,6370001,34.8172,-82.413,34.4811,-81.9409
6370050,6370001,32.417,-80.6876,34.4811,-81.9409
6370433,6370001,33.2077,-79.9537,34.4811,-81.9409
6370017,6370001,34.1887,-79.7645,34.4811,-81.9409
6370021,6370001,34.5378,-82.6281,34.4811,-81.9409
6370445,6370001,33.687,-80.2111,34.4811,-81.9409
6370030,6370001,34.5116,-82.6464,34.4811,-81.9409
6370018,6370001,33.5608,-79.0431,34.4811,-81.9409
6370232,6370001,32.9746,-80.0735,34.4811,-81.9409
6370380,6370001,34.3502,-80.1047,34.4811,-81.9409
6370015,6370001,32.97642,-80.07191,34.4811,-81.9409
6370110,6370001,34.6843,-81.184,34.4811,-81.9409
6370444,6370001,34.0575,-78.8986,34.4811,-81.9409
6370237,6370001,34.3133,-79.8398,34.4811,-81.9409
6370031,6370001,33.7878,-78.998,34.4811,-81.9409
6370675,6370001,34.372506,-81.100759,34.4811,-81.9409
6370155,6370001,34.09193,-80.97208,34.4811,-81.9409
6370495,6370001,34.6954,-79.9194,34.4811,-81.9409
6370100,6370001,32.8084,-80.0424,34.4811,-81.9409
6370080,6370001,32.839783,-79.972494,34.4811,-81.9409
6370034,6370001,34.8627,-82.2186,34.4811,-81.9409
6370006,6370001,32.96568,-80.16161,34.4811,-81.9409
6370677,6370001,34.731703,-82.044161,34.4811,-81.9409
6370027,6370001,34.4802,-82.5662,34.4811,-81.9409
6370026,6370001,32.8151,-79.856,34.4811,-81.9409
6370035,6370001,32.8777,-79.7692,34.4811,-81.9409
6370490,6370001,32.85746,-79.98052,34.4811,-81.9409
6370430,6370001,34.7179,-80.7884,34.4811,-81.9409
6370595,6370001,34.7201,-82.2483,34.4811,-81.9409
6370024,6370001,34.8404,-82.4214,34.4811,-81.9409
6370350,6370001,34.87156,-82.37208,34.4811,-81.9409
6370023,6370001,32.3142,-81.0554,34.4811,-81.9409
6370243,6370001,33.7782,-81.9294,34.4811,-81.9409
6370375,6370001,34.1758,-82.1574,34.4811,-81.9409
6370048,6370001,33.254981,-81.360907,34.4811,-81.9409
6370033,6370001,34.8517,-82.3273,34.4811,-81.9409
6370385,6370001,34.8651,-82.2292,34.4811,-81.9409
6370378,6370001,34.9202,-82.2444,34.4811,-81.9409
6370009,6370001,34.197,-79.7594,34.4811,-81.9409
6370032,6370001,34.1669,-82.1557,34.4811,-81.9409
6370645,6370001,33.97146,-80.48881,34.4811,-81.9409
6370390,6370001,32.2239,-80.7148,34.4811,-81.9409
6370443,6370001,34.784769,-81.462267,34.4811,-81.9409
6370008,6370001,33.5712,-81.7618,34.4811,-81.9409
6370477,6370001,33.7585,-78.8202,34.4811,-81.9409
6379102,6370001,34.8629,-80.8028,34.4811,-81.9409
6370323,6370001,34.8184,-82.4142,34.4811,-81.9409
6370095,6370001,32.8393,-79.9744,34.4811,-81.9409
6370085,6370001,32.7844,-79.9468,34.4811,-81.9409
6370021,6370002,34.5378,-82.6281,34.0277,-81.0286
6370027,6370002,34.4802,-82.5662,34.0277,-81.0286
6370232,6370002,32.9746,-80.0735,34.0277,-81.0286
6370025,6370002,34.0075,-81.0327,34.0277,-81.0286
6370240,6370002,34.4215,-79.365,34.0277,-81.0286
6370195,6370002,34.0661,-81.1151,34.0277,-81.0286
6370230,6370002,33.7856,-79.0018,34.0277,-81.0286
6370070,6370002,34.2531,-80.5909,34.0277,-81.0286
6370050,6370002,32.417,-80.6876,34.0277,-81.0286
6370665,6370002,32.8551,-81.0874,34.0277,-81.0286
6370130,6370002,34.4735,-81.8683,34.0277,-81.0286
6370103,6370002,32.784,-79.9539,34.0277,-81.0286
6370155,6370002,34.09193,-80.97208,34.0277,-81.0286
6370001,6370002,34.4811,-81.9409,34.0277,-81.0286
6370048,6370002,33.254981,-81.360907,34.0277,-81.0286
6370290,6370002,35.0898,-81.6345,34.0277,-81.0286
6370549,6370002,32.494678,-80.986526,34.0277,-81.0286
6370100,6370002,32.8084,-80.0424,34.0277,-81.0286
6370218,6370002,34.0211,-81.0316,34.0277,-81.0286
6370444,6370002,34.0575,-78.8986,34.0277,-81.0286
6370244,6370002,34.8411,-82.6068,34.0277,-81.0286
6370250,6370002,33.79168,-78.993528,34.0277,-81.0286
6370677,6370002,34.731703,-82.044161,34.0277,-81.0286
6370018,6370002,33.5608,-79.0431,34.0277,-81.0286
6370210,6370002,33.9769,-80.9617,34.0277,-81.0286
6370323,6370002,34.8184,-82.4142,34.0277,-81.0286
6370340,6370002,34.8172,-82.413,34.0277,-81.0286
6379102,6370002,34.8629,-80.8028,34.0277,-81.0286
6370445,6370002,33.687,-80.2111,34.0277,-81.0286
6370055,6370002,32.3893,-80.6824,34.0277,-81.0286
6370045,6370002,33.303347,-81.031042,34.0277,-81.0286
6370540,6370002,34.8751,-82.7062,34.0277,-81.0286
6370280,6370002,34.0125,-80.9392,34.0277,-81.0286
6370675,6370002,34.372506,-81.100759,34.0277,-81.0286
6370011,6370002,34.1601,-79.7528,34.0277,-81.0286
6370006,6370002,32.96568,-80.16161,34.0277,-81.0286
6370460,6370002,32.8213,-79.8506,34.0277,-81.0286
6370081,6370002,32.78186,-79.95044,34.0277,-81.0286
6370010,6370002,34.1595,-82.3819,34.0277,-81.0286
6370033,6370002,34.8517,-82.3273,34.0277,-81.0286
6370495,6370002,34.6954,-79.9194,34.0277,-81.0286
6370667,6370002,34.0062,-81.1183,34.0277,-81.0286
6370671,6370002,34.006,-81.1143,34.0277,-81.0286
6370700,6370002,34.964,-82.4548,34.0277,-81.0286
6370477,6370002,33.7585,-78.8202,34.0277,-81.0286
6370026,6370002,32.8151,-79.856,34.0277,-81.0286
6370443,6370002,34.784769,-81.462267,34.0277,-81.0286
6370490,6370002,32.85746,-79.98052,34.0277,-81.0286
6370380,6370002,34.3502,-80.1047,34.0277,-81.0286
6370060,6370002,34.63511,-79.698834,34.0277,-81.0286
6370520,6370002,33.5402,-80.8306,34.0277,-81.0286
